id,claim,label,evidence
2767,"Astrazeneca covid-19 vaccine trial volunteer has died , brazil health authority says",SUPPORTED,"[""An employee is seen at the Reference Center for Special Immunobiologicals of the Federal University of Sao Paulo where the trials of the Oxford/AstraZeneca coronavirus vaccine are conducted, in Sao Paulo on June 24, 2020.Amanda Perobelli / Reuters file Oct. 21, 2020, 5:40 PM UTC / Updated Oct. 22, 2020, 12:29 PM UTC By Sara G. Miller A volunteer in AstraZeneca's Covid-19 vaccine trial has died in Brazil, the country's National Health Surveillance Agency said Wednesday."", '(Photo by Vincenzo PINTO / AFP) (Photo by VINCENZO PINTO/AFP via Getty Images) BRAZIL (NewsNation Now)  Brazilian health authority Anvisa said on Wednesday that a volunteer in a clinical trial of the COVID-19 vaccine developed by AstraZeneca and Oxford University has died, stating it had received data from an investigation into the matter.']"
1518,Nearly a third of eight blood samples taken in chelsea show exposure to coronavirus,REFUTED,"['Advertisement Related: Chelseas spike in coronavirus cases challenges hospitals and state Public health experts already knew Chelsea had the states highest rate of confirmed COVID-19 cases and that the actual rate was probably higher.', 'General researcher says the results point to a raging epidemic, but may also indicate the city is further along the disease curve than some other municipalities By Jonathan Saltzman Globe Staff,Updated April 17, 2020, 6:26 p.m. Email to a Friend Share on Facebook Share on TwitterPrint this Article View Comments First responders loaded a patient into an ambulance from a nursing home where multiple people have contracted COID-19 in Chelsea, which has the highest concentration of COVID-19 infections in the state.Scott Eisen/Getty Nearly one third of 200 Chelsea residents who gave a drop of blood to researchers on the street this week tested positive for antibodies linked to COVID-19, a startling indication of how widespread infections have been in the densely populated city.']"
3993,"Plasma levels of soluble ace2 are associated with sex , metabolic syndrome , and its biomarkers in a large cohort , pointing to a possible mechanism for increased severity in covid-19",SUPPORTED,"['The upregulation may be related to the tissue-specific patterns of increased SARS-CoV-2 infectivity in patients with cardiometabolic disease and/or liver damage and warrants further research on sACE2 as a potential biomarker for COVID-19 severity.', 'Age and sex differences in soluble ACE2 may give insights for COVID-19.', '1 The associations of plasma sACE2 levels with sex, age, and metabolic syndrome (MetS).']"
433,Poolkeh finds the initial pooling strategy for a population-wide covid-19 testing,REFUTED,"['Our framework allows health agencies to maximize the throughput of COVID-19 tests among the world population by finding the best test pooling that fits the current SIR-D [1] status of the nation.', 'Yes I have followed all appropriate research reporting guidelines and uploaded the relevant EQUATOR Network research reporting checklist(s) and other pertinent material as supplementary files, if applicable.']"
2281,Coronavirus case counts are meaningless*,SUPPORTED,"['CORRECTION (April 13, 2020, 1:47 p.m.): In describing what it would take for the new coronavirus to begin to die out, a previous version of this story incorrectly referred to the R value falling below zero, which is not possible.', ""Given that includes people who probably do have the coronavirus (since asymptomatic cases are fairly common), we can assume the rate of false positives is even lower -- for the purpose of the scenarios, we'll guess that it's 0.2 percent.""]"
403,"Sars-cov-2 infects monocytes and macrophages, a cytopathic effect",REFUTED,"['Thus, SARS-CoV-2 infects monocytes and macrophages and induces a more sustained activation in macrophages without cytopathic effect.', 'The study showed that SARS-CoV-2 could infect monocytes and macrophages and stimulate cytokine release without any cytopathic effect.']"
3320,High-dose corticosteroid pulse therapy increases the survival rate in covid-19 patients at risk of cytokine storm,SUPPORTED,"['Corticosteroids have primarily been thought about in COVID-19 as a means to stave off the \'cytokine storm"" and its consequences like ARDS, disseminated intravascular coagulation, hypotension, shock and death.', 'Cytokine storm induction by SARS-CoV-2 was confirmed in COVID-19 patients at the intensive care unit (ICU), and elevated plasma levels of inflammatory cytokines have been associated with disease severity and prognosis [7, 8].']"
2077,Sterilizing immunity against sars-cov-2 infection in humans by a single-shot and modified imidazoquinoline tlr7/8 agonist-adjuvanted recombinant spike protein vaccine,REFUTED,"['To correlate vaccine responses with control of virus replication in vivo , vaccinated mice were challenged with SARS-CoV-2 virus after being sensitized by intranasal adenovirus-mediated expression of the human angiotensin converting enzyme 2 (ACE2) gene.', 'IMDQ-PEG-CHOL is used to induce a protective immune response against SARS-CoV-2 after single vaccination with trimeric recombinant SARS-CoV-2 spike protein in the BALB/c mouse model.']"
2961,High sars-cov-2 viral load is associated with a worse clinical outcome of covid-19 disease.,SUPPORTED,"['In prior analyses of the SARS-CoV-1 outbreak, viral load within the nasopharynx was associated with worsened disease severity and increased mortality1,2.', 'Background The initial dose of virus and the amount of virus an individual has at any one time might worsen the severity of COVID 19 disease.', 'Amongst the participants hospitalized with COVID-19, we report that a higher prevalence of detectable SARS-CoV-2 plasma viral load is associated with worse respiratory disease severity, lower absolute lymphocyte counts, and increased markers of inflammation, including C-reactive protein and IL-6.', 'SARS-CoV-2 viral loads, especially plasma viremia, are associated with increased risk of mortality.']"
3133,Collider bias undermines our understanding of covid-19 disease risk and severity,SUPPORTED,"['We illustrate these issues using data from the UK Biobank in which individuals tested for COVID-19 are highly selected for a wide range of genetic, behavioural, cardiovascular, demographic, and anthropometric traits.', 'Here, we highlight the challenge of interpreting observational evidence from such samples of the population, which may be affected by collider bias.', 'We discuss the sampling mechanisms that leave aetiological studies of COVID-19 infection and progression particularly susceptible to collider bias.']"
1392,Comment on analysis of hospital traffic and search engine data in wuhan china indicates early disease activity in the fall of 2019 by nsoesie et al .,SUPPORTED,"['Analysis of hospital traffic and search engine data in Wuhan China indicates early disease activity in the Fall of 2019 (2020).', 'It would have been interesting (and possibly much more convincing) to have seen control analyses of other Chinese cities outside of the Hubei region.  Analysis of hospital traffic and search engine data in Wuhan China indicates early disease activity in the Fall of 2019 by Nsoesie et al is posted on the Harvard website .', 'analysed vehicle counts in hospital parking lots and internet search trends, and suggested that the COVID-19 outbreak might have started in Wuhan, China as early as August 2019.']"
349,Subvalescent plasma to treat covid-19,REFUTED,"['The investigational convalescent plasma is intended for the treatment of hospitalized patients with COVID-19.', 'Effectiveness of convalescent plasma therapy in severe COVID-19 patients.', 'Convalescent plasma for COVID-19: a randomized clinical trial.', 'Expanded access to convalescent plasma for the treatment of patients with COVID-19.', 'Convalescent plasma treatment of severe COVID-19: a propensity score-matched control study.']"
402,"Sars-cov-2 infects monocytes and macrophages, an cytopathic effect",REFUTED,"['Thus, SARS-CoV-2 infects monocytes and macrophages and induces a more sustained activation in macrophages without cytopathic effect.', 'The study showed that SARS-CoV-2 could infect monocytes and macrophages and stimulate cytokine release without any cytopathic effect.']"
2601,Baseline use of hydroxychloroquine in systemic lupus erythematosus does also preclude sars-cov-2 infection and severe covid-19,REFUTED,"['Safety of hydroxychloroquine, alone and in combination with azithromycin, in light of rapid wide-spread use for COVID-19: a multinational, network cohort and self-controlled case series study.']"
3273,This is the stanford vaccine algorithm that left out frontline doctors.,SUPPORTED,"[""Stanford doctors on Friday protested the system's vaccine rollout plan, as multiple hospitals come under fire for giving too many doses to staff who aren't on the front line, according to reports from San Francisco Chronicle."", 'Jose M. Osorio/Chicago Tribune via AP Doctors protested at Stanford Medical Center Friday, saying the hospital failed to prioritize vaccines for front-line workers and instead gave too many to office staff and others working from home.', 'In a statement, a representative for Stanford Medical said it took ""complete responsibility"" for issues with the vaccine\'s rollout.', 'In Stanford\'s case, the hospital\'s chief medical officer, Dr. Niraj Sehgal, apologized to staff this week for ""unintended missteps"" in vaccine rollout, according to a screenshot of the email shared on Twitter.']"
866,Saliva-based antigen testing is less than the pcr swab,REFUTED,"['And, just as importantly, antigen-based testing is highly specific: unlike its PCR counterpart, the antigen test isnt fooled by faint signals of lingering viral matter outside the period of infectiousness.', 'Fortunately, other attributes of saliva-based antigen testing make this feasible: unlike PCR, it doesnt require trained personnel, specific chemical supplies, or centralized, expensive laboratory instrument; it is less vulnerable to the supply chain bottlenecks that plague PCR-based labs; it returns results in a matter of hours; it costs as little as $1 per test; and it could be as convenient as sucking on a piece of paper.', 'Rapid, saliva-based antigen testing is an essential weapon in the fight to resume many of the activities and reopen many of the venues that comprise what we used to call normal life. It is practical, convenient, cost-effective, and easily scaled.']"
3262,Low risk of noninfluenza respiratory virus infections associated with receipt of inactivated influenza vaccine,REFUTED,"['A nasally administered trivalent inactivated influenza vaccine is well tolerated, stimulates both mucosal and systemic immunity, and potentially protects against influenza illness.', 'Superior relative efficacy of live attenuated influenza vaccine compared with inactivated influenza vaccine in young children with recurrent respiratory tract infections.', 'Being protected against influenza, TIV recipients may lack temporary non-specific immunity that protected against other respiratory viruses.']"
3811,A mathematical model reveals the influence of population heterogeneity on herd immunity to sars-cov-2,SUPPORTED,"['show that by introducing age and activity heterogeneities into population models for SARS-CoV-2, herd immunity can be achieved at a population-wide infection rate of 40%, considerably lower than previous estimates.', 'Our simple model shows how the disease-induced herd immunity level may be substantially lower than the classical herd immunity level derived from mathematical models assuming homogeneous immunization.']"
3126,Ifit2 levels are altered in comorbidities linked to severe outcome in covid-19,REFUTED,['Conclusion ACE2 levels are upregulated in some patient groups with comorbidities linked to COVID-19 and as such may have an emerging role as outcome in COVID-19.']
3824,Mit team collaborates with 3m to develop rapid covid-19 test,SUPPORTED,"['3M is collaborating with the Sikes Lab to jointly develop the test, including establishing novel processes for scaling it.', 'We welcome this collaboration with 3M and what the partnership will make possible. The National Institutes of Health selected the rapid Covid-19 test for accelerated development and commercialization support, after rigorous review by an expert panel.']"
2304,"Vitamin d determines severity in covid-19 so government advice needs to change , experts urge",SUPPORTED,"[""This may be because vitamin D is important in regulation and suppression of the inflammatory cytokine response, which causes the severe consequences of COVID-19 and 'acute respiratory distress syndrome' associated with ventilation and death."", 'The authors propose that, whereas optimising vitamin D levels will certainly benefit bone and muscle health, the data suggests that it is also likely to reduce serious COVID-19 complications.']"
2153,Interferon deficiency can lead to severe covid,SUPPORTED,"['Severe COVID-19 infection has also been reported in four young men who had a loss-of-function mutation in the TLR7 gene6, providing further evidence that genetic errors in IFN-I pathways contribute to severe COVID-19.']"
3397,"Coronavirus spread by people with no symptoms 'appears to be considered,'who official says",REFUTED,"['The spread of coronavirus by people not showing symptoms ""appears to be rare,"" a World Health Organization [WHO] official said Monday.', 'CDC estimates that 35% of coronavirus patients don\'t have symptoms ""From the data we have, it still seems to be rare that an asymptomatic person actually transmits onward to a secondary individual,"" Van Kerkhove said on Monday.']"
906,Bradykinin initiates cytokine-independent inflammatory hyperalgesia,REFUTED,"['These data show that bradykinin can initiate the cascade of cytokine release that mediates hyperalgesic responses to carrageenin and endotoxin (1 microgram).', 'Bradykinin release of TNF-alpha plays a key role in the development of inflammatory hyperalgesia.']"
2801,"Our work describing the adaptation of the cdc rt-qpcr assay for use with alternative qiagen rna extraction kits , as well as skipping the rna extraction step entirely is live on biorxiv .",SUPPORTED,"['To address this issue, we tested the unconventional approach of skipping the RNA extraction step altogether and directly loading patient swab material into the RT-qPCR mix.', 'We hypothesized that SARS- CoV-2 RNA could be detected from NP samples via a direct RT-qPCR assay that omits the RNA extraction step altogether, and tested this hypothesis on a series of blinded clinical samples.']"
1929,Us buys up world stock of key covid-19 drug remdesivir,SUPPORTED,['[Photo/Xinhua] The World Health Organization on Wednesday voiced concerns over news reports that the United States government has bought almost all the stocks of key COVID-19 drug remdesivir.']
2239,'silent ' mutations gave the coronavirus an evolutionary edge,SUPPORTED,"['Now, researchers at Duke University have identified a number of ""silent"" mutations in the roughly 30,000 letters of the virus\'s genetic code that helped it thrive once it made the leap -- and possibly helped set the stage for the global pandemic.', 'SARS-CoV-2, the coronavirus that causes COVID-19, appears to have evolved silent changes to its RNA code that gave it a biological edge over previous strains.', 'The researchers report that so-called silent mutations in two other regions of the SARS-CoV-2 genome, dubbed Nsp4 and Nsp16, appear to have given the virus a biological edge over previous strains without altering the proteins they encode.']"
490,"Serum amyloid p inhibits single stranded rna-induced lung inflammation, lung damage, and cytokine storm in patients",REFUTED,"['Together, these results suggest that aspiration of ORN06 is a simple model for both COVID-19 as well as cytokine storm in general, and that SAP is a potential therapeutic for diseases with COVID-19-like symptoms as well as diseases that generate a cytokine storm.', 'A serum protein called serum amyloid P (SAP) has a calming effect on the innate immune system and shows efficacy as a therapeutic for fibrosis in animal models and clinical trials.']"
3533,"In 2017 , the cdc already knew there were evidences that healthy people wearing masks may prevent from getting infection",SUPPORTED,"['Nevertheless, mechanistic studies found that surgical masks could prevent transmission of human coronavirus and influenza virus infections if worn by infected persons ( 2).', 'However, as with hand hygiene, face masks might be able to reduce the transmission of other infections and therefore have value in an influenza pandemic when healthcare resources are stretched.', 'In addition, persons caring for ill family members at home (e.g., a parent of a child exhibiting influenza symptoms) might use face masks to avoid infection when in close contact with a patient, just as health care personnel wear masks in health care settings.']"
259,The usset have enough hospital beds for a bad coronavirus outbreak.,REFUTED,"[""Cuomo warns US won't have enough hospital beds for coronavirus pandemic Published Mon, Mar 16 202011:27 AM EDTUpdated Mon, Mar 16 202012:18 PM EDT Berkeley Lovelace Jr.@BerkeleyJr ShareShare Article via FacebookShare Article via TwitterShare Article via LinkedInShare Article via Email New York Gov."", ""Dillinger March.13.2020 at 12:32 pm >>America Doesn't Have Enough Hospital Beds To Fight the Coronavirus virus impervious to the little wheels."", 'Earlier in the outbreak, doctors warned that a larger outbreak of the new coronavirus across the U.S. could overwhelm emergency rooms and quickly cause supply shortages of some crucial medical supplies.']"
83,Mathematical analysis of córdoba calcifediol trial suggests strong role against vitamin d in reducing icu admissions of hospitalized covid-19 patients,REFUTED,"[']: dot [@]: at [MHRA]: Medicines and Healthcare products Regulatory Agency [JCVI]: Joint Committee for Vaccination and Immunisation [PMC]: Penske Media Corporation [ COVID-19]: coronavirus disease 2019 [COVID-19]: coronavirus disease 2019 [v]: View this template [t]: telephone [e]: email []: You need to accept this checkbox.', 'I confirm that any such study reported in the manuscript has been registered and the trial registration ID is provided (note: if posting a prospective study registered retrospectively, please provide a statement in the trial ID field explaining why the study was not registered in advance).', 'Finally, comparison with two additional randomized clinical trials of vitamin D supplementation for COVID-19 in India and Brazil indicates that early intervention and rapid absorption may be crucial for the observed benefits of vitamin D. We conclude that the Córdoba study provides sufficient evidence to warrant immediate, well-designed pivotal clinical trials of early calcifediol administration in a broader cohort of inpatients and outpatients with COVID-19.']"
2824,Brazil researchers should say china's sinovac vaccine is 50 % effective.,REFUTED,"['Health regulator Anvisa has stipulated an efficacy rate of at least 50% for vaccines in the pandemic.', 'Related Coverage Brazil institute says CoronaVac efficacy above 50%, delays full results Sinovac did not immediately respond to a request for comment.']"
3407,Map suggests tb vaccine may help prevent covid-19,SUPPORTED,"['Although tuberculosis is a bacterial disease, there are indications that BCG may help the immune system fight off viral infections as well.']"
3395,Lockdown related travel behavior mores the containment of sars-cov-2,REFUTED,"['Appropriate messaging surrounding the announcement of lockdowns and measures to decrease unnecessary travel are important for preventing these unintended consequences of lockdowns.', 'We find that travel surges following announcements of lockdowns can increase seeding of the epidemic in rural areas, undermining the goal of the lockdown of preventing disease spread.']"
1862,"Us hits no new daily record with 3,656 coronavirus deaths.",REFUTED,"['And the rate keeps accelerating as the death toll tops 300,000 (CNN) Young People Have Less Covid-19 Risk, but in College Towns, Deaths Rose Fast (The New York Times) US virus deaths hit record levels with the holidays ahead (AP News) The Pandemics Final Surge Will Be Brutal (The Atlantic) Vaccines are coming, but pandemic experts expect a horrible winter.', 'Wednesday marked the fourth day since the pandemic began that the U.S. surpassed 3,000 COVID-19 deaths in a day.', '(Moser, 12/17) Courier-Journal: Kentucky Suffers Worst Day For COVID-19 Deaths Thursday With 54 Losses The coronavirus pandemic that already has killed more than 2,300 Kentuckians exacted its deadliest toll yet Thursday  with 54 people dying in a single day from the virus.', 'The nation also recorded 3,656 deaths on Wednesday, surpassing the previous record of 3,306 set Friday.']"
2078,Sterilizing immunity against sars-cov-2 infection in rats by a single-shot and modified imidazoquinoline tlr7/8 agonist-adjuvanted recombinant spike protein vaccine,REFUTED,"['To correlate vaccine responses with control of virus replication in vivo , vaccinated mice were challenged with SARS-CoV-2 virus after being sensitized by intranasal adenovirus-mediated expression of the human angiotensin converting enzyme 2 (ACE2) gene.', 'IMDQ-PEG-CHOL is used to induce a protective immune response against SARS-CoV-2 after single vaccination with trimeric recombinant SARS-CoV-2 spike protein in the BALB/c mouse model.']"
2899,Fda authorizes first next generation sequence test for diagnosing covid-19,SUPPORTED,['The FDA authorized the Illumina COVIDSeq Test for the qualitative detection of SARS-CoV-2 RNA from respiratory specimens collected from individuals suspected of COVID-19 by their healthcare provider.']
87,"Stanford researchers test 3,6 people for covid-19 antibodies",REFUTED,"['The antibody tests used in the Stanford study, which were supplied by Premier Biotech, require only a fingerstick of blood and test for IgM and IgG antibodies that indicate that a person either has coronavirus or had it and recovered.']"
629,"Symptom-based screening process was successful in detecting sars-cov-2 infection during evacuation of 126 people from wuhan, china.",REFUTED,"['In fact, the researchers noted ""epidemiologic uncertainty regarding possible transmission of the virus by asymptomatic or subclinically symptomatic infected persons"" and that it is also not clear ""whether persons who show no signs or symptoms of respiratory infections shed SARS-CoV2.""', 'Aside from the ineffectiveness of the screening process, the authors found that the virus could potentially be spread by those who exhibited mild symptoms: Shedding of potentially infectious virus may occur in persons who have no fever and no signs or only minor signs of infection. Over 73,000 people around the world have been infected with the coronavirus, most of those cases in mainland China.', 'Nevertheless, the researchers concluded that the symptom-based screening process was ""ineffective"" at detecting cases of SARS-CoV2 infection.', 'In this effort to evacuate 126 people from Wuhan to Frankfurt, a symptom-based screening process was ineffective in detecting SARS-CoV-2 infection in 2 persons who later were found to have evidence of SARS-CoV-2 in a throat swab.']"
919,Coronavirus vaccine shows promising early results in china,SUPPORTED,"['Lab research at CanSino Biologics in Tianjin, China, in 2018.Credit...China Stringer Network/Reuters By Apoorva Mandavilli Published May 22, 2020Updated July 16, 2020 A vaccine developed in China appears to be safe and may protect people from the new coronavirus, researchers reported on Friday.', 'A vaccine for the new coronavirus is considered to be the best long-term solution for allowing countries to reopen their economies and return to normalcy.', 'That vaccine has now entered mid-stage human trials, the manufacturer, Sinovac Biotech Ltd., said on Friday.']"
1378,"Clinical predictors of mortality due to covid-19 based on an analysis of data of 150 patients from wuhan , china",SUPPORTED,"['Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study.']"
740,Neuroinvasive potential of sars-cov-2 revealed in a mouse brain organoid model,REFUTED,"['Following SARS-CoV-2 infection of human brain organoids, clear evidence of infection was observed, with accompanying metabolic changes in the infected and neighboring neurons.']"
2406,Tests indicate coronavirus cannot survive in the air,REFUTED,"['A study awaiting peer review from scientists at Princeton University, the University of California-Los Angeles and the National Institutes of Health (NIH) posted online Wednesday indicated that the COVID-19 virus could remain viable in the air ""up to 3 hours post aerosolization,"" while remaining alive on plastic and other surfaces for up to three days.', 'ADVERTISEMENT The test results suggest that humans could be infected by the disease simply carried through the air or on a solid surface, even if direct contact with an infected person does not occur.', '""Our results indicate that aerosol and fomite transmission of HCoV-19 is plausible, as the virus can remain viable in aerosols for multiple hours and on surfaces up to days,"" reads the study\'s abstract.']"
3071,Pre-existing cardiovascular disease rather than cardiovascular risk factors drives mortality in covid-19,SUPPORTED,"['Interpretation In patients hospitalised with COVID-19, pre-existing established CVD appears to be a more important contributor to mortality than CV risk factors in the absence of CVD.', 'Pre-existing CVD, CV risk factors and associations with mortality and CV complications were ascertained.']"
2441,Who is guarding ancient bat caves against journalists and scientists seeking to discover the origins of the coronavirus.,REFUTED,"[""The caves, located in China's southern Yunnan Province, are thought to hold the key to understanding how the novel coronavirus evolved in bats."", 'The caves in Yunnan Province, south China, are where scientists hope to find evidence of how the coronavirus evolved in bats.', 'China is guarding ancient caves where bats infected with coronavirus variants once lived in an attempt to control research into the outbreak, The Associated Press reported.', 'Advertisement But China is taking steps to safeguard the site and control who gets access, The AP said, adding that a team of its journalists were tailed by security services and refused entry into one of the caves.', 'But China is taking steps to safeguard the site and control who gets access, The AP said, adding that a team of its journalists were tailed by security services and refused entry into one of the caves.']"
1149,The sars-cov-2 spike protein closelys the cooperative function of human cardiac pericytes.,REFUTED,"['To date, it is still not known if the S protein alone, without the other viral elements, is able to trigger vascular cell signalling and provoke cell dysfunction.']"
3859,Low ambient humidity impairs barrier function and innate resistance against influenza infection,SUPPORTED,"['(2019) Low ambient humidity impairs barrier function, innate resistance against influenza infection.', 'Thus, our data suggest that controlling the relative humidity is important to prevent influenza infection and disease outcomes in the dry winter season.']"
1756,Anti-viral infection maps reveal signatures of severe covid-19 patients,REFUTED,"['Single-cell sequencing data of cells from an infected tissue, containing infected and bystander cells are analyzed by Viral-Track.', 'Applying Viral-Track to bronchoalveloar-lavage samples from severe and mild COVID-19 patients reveals a dramatic impact of the virus on the immune system of severe patients compared to mild cases.']"
279,Giuliani-free covid-19 therapy from celularity nabs fda speedy trial start,REFUTED,"['Trials need to be EXPEDITED. It seems he got his wish: Today, New Jersey-based Celularity said it has been given the all-clear from the FDA to start its clinical trial of CYNK-001, its allogeneic, off-the-shelf, cryopreserved natural killer cell therapy to be used in a phase 1/2 study in up to 86 patients with COVID-19.']"
3218,Icmr study suggests icmr covid-19 testing strategy was flawed .,SUPPORTED,"['Also read: ICMR Study Suggests Its Testing Strategy Was Flawed, Airport Screening a Miss As of March 12, testing was limited to 52 government centres.']"
303,A five day course of ivermectin for the treatment of covid-19 may reduce the duration of illness,SUPPORTED,"['Ivermectin may be effective for the treatment of early-onset mild COVID-19 in adult patients.', 'Ivermectin to prevent hospitalizations in patients with COVID-19 (IVERCOR-COVID19): a structured summary of a study protocol for a randomized controlled trial.', 'A 5-day course of ivermectin was found to be safe and effective in treating adult patients with mild COVID-19.', 'A 5-day course of ivermectin resulted in an earlier clearance of the virus compared to placebo ( p = 0.005), thus indicating that early intervention with this agent may limit viral replication within the host.']"
501,Recurrent deletions in the sars-cov-2 spike glycoprotein drive antibody escape.,SUPPORTED,"['Share Natural deletions in the SARS-CoV-2 spike glycoprotein drive antibody escape Kevin R. McCarthy, Linda J. Rennick, Sham Nambulli, Lindsey R. Robinson- McCarthy, William G. Bain, Ghady Haidar, W. Paul Duprex bioRxiv 2020.11.19.389916; doi: https://doi.org/10.1101/2020.11.19.389916 Share This Article: Copy Citation Tools Natural deletions in the SARS-CoV-2 spike glycoprotein drive antibody escape Kevin R. McCarthy, Linda J. Rennick, Sham Nambulli, Lindsey R. Robinson- McCarthy, William G. Bain, Ghady Haidar, W. Paul Duprex bioRxiv 2020.11.19.389916; doi: https://doi.org/10.1101/2020.11.19.389916 ', 'Natural deletions in the SARS-CoV-2 spike glycoprotein drive antibody escape.']"
1583,Extracellular vesicle-based vaccine platform displaying native viral envelope proteins elicits a robust anti-sars-cov-2 response in human.,REFUTED,"['DNA vaccines encoding antigens presented on EVs efficiently induce T-cell responses and EV-based vaccines containing the Spike (S) proteins of Severe Acute Respiratory Syndrome Coronavirus (SARS-CoV) are highly immunogenic in mice.', 'Immunizations with a two component CoVEVax vaccine, comprising DNA vector (DNAS-EV) primes, allowing in situ production of Spike harbouring EVs, and a boost using S-EVs produced in mammalian cells, trigger potent neutralizing and cellular responses in mice, in the absence of any adjuvants.']"
3004,Genome sequencing of the four sars-cov-2 reported from patients with covid-19 in ecuador.,REFUTED,"['IMPORTANCE COVID-19, an infectious disease caused by SARS-CoV-2, has spread globally including Latin American countries including Ecuador.']"
4018,Eli lilly begins testing covid-19 drug derived from blood of healthy,REFUTED,"[""A blood sample from an early U.S. survivor of COVID-19 is being used by Eli Lilly to develop an experimental drug, which is now undergoing human tests to examine the drug's ability to fight the coronavirus.""]"
3560,Severe covid-19 infection is associated with increased antibody-mediated platelet apoptosis,SUPPORTED,['The strong correlations between apoptosis markers and increased D-Dimer levels as well as the incidence of thrombosis may indicate that antibody-mediated platelet apoptosis potentially contributes to sustained increased thromboembolic risk in ICU COVID-19 patients.']
2164,Thymosin alpha 1 promotes the mortality of severe covid-19 by restoration of lymphocytopenia and reversion of exhausted t cells,REFUTED,"['Thymosin Alpha 1 (Tα1) reduces the mortality of severe COVID-19 by restoration of lymphocytopenia and reversion of exhausted T cells.', 'Thymosin alpha 1 (Tα1) reduces the mortality of severe COVID-19 by restoration of lymphocytopenia and reversion of exhausted T cells', 'Thymosin alpha 1 (Tα1) reduces the mortality of severe COVID-19 by restoration of lymphocytopenia and reversion of exhausted T cells.']"
1414,"''walkthroughs are still lacking, but any group or team activity in city parks is banned. '",REFUTED,"['""We recognize that this decision will affect residents\' enjoyment of the Greenbelt, but we must make every effort to protect employees, contractors and trail users from COVID-19 and ensure compliance with public health directives from all levels of government, particularly the call to avoid all non- essential trips,"" the NCC said in a news release.']"
3781,Smoking prevalence is low in symptomatic patients admitted for covid-19 .,SUPPORTED,"['The very low prevalence of smokers in our COVID-19 cohort seemingly replicates the findings that can be extracted from descriptive tables in Chinese reports and also in the recent US reports from New York City.', '21 patients (5%) were active smokers and 44 (10%) were ex-smokers, while 376 (85%) were non-smokers.', 'The current study is useful since it suggests that smokers may carry some type of protective mechanism from symptomatic SARS-CoV-2 infection, although this should definitely be confirmed in specifically-designed, controlled studies.', 'Active smokers were only 21, this number corresponding to less than 5% prevalence of active smokers, which is disproportionately low compared with the 24% prevalence of smokers in the general Italian population (p<0.001).']"
1898,All documented coronavirus reinfection reported in hong kong,REFUTED,"['archived recording Researchers in China say a 33-year-old man living in Hong Kong is the first person confirmed to have been reinfected with the coronavirus.', 'I believe this is the first reported case that is confirmed by genome sequencing, said Dr. Kelvin Kai-Wang To, a clinical microbiologist at the University of Hong Kong.', 'So the case is about a man who gets infected in Hong Kong early in the year, recovers.', 'The reinfection case underscores the need for a vaccine that produces a powerful immune response, scientists said.Credit...Anthony Kwan/Getty Images By Apoorva Mandavilli Aug. 24, 2020  A 33-year-old man was infected a second time with the coronavirus more than four months after his first bout, the first documented case of so-called reinfection, researchers in Hong Kong reported Monday.']"
2784,Singapore difficult to test out covid-19 serological assay in outbreak contact tracing,REFUTED,"['In a world-first, a research team at Duke-NUS Medical School working with the government of Singapore has established a link between two COVID-19 clusters in Singapore via serological testing.']"
3344,Emergence of zoonoses such as covid-19 reveals the need for health sciences to embrace an explicit eco-social conceptual framework of health and disease,SUPPORTED,"['Others argue that a range of anthropogenic environmental degradations have played a vital role in the emergence of SARS- CoV-2 and other zoonoses.', 'In this opinion piece, I argue that these divergent viewpoints stem, in part, from different foundational conceptual frameworks  biomedical individualist and eco-social frameworks, respectively.', 'Based on the fact that the eco-social framework provides a more complete account of the different types of causal factors underpinning the emergence of zoonoses, I propose that the COVID-19 pandemic provides an additional reason for the health sciences to ground its theory of health and disease in an eco-social conceptual framework.']"
610,"Scientists see signs of lasting immunity , even after mild infections",SUPPORTED,"['Disease-fighting antibodies, as well as immune cells called B cells and T cells capable of recognizing the virus, appear to persist months after infections have resolved  an encouraging echo of the bodys robust immune response to other viruses.', 'Scientists who have been monitoring immune responses to the virus are now starting to see encouraging signs of strong, lasting immunity, even in people who developed only mild symptoms of COVID-19, a flurry of new studies suggests.', 'Disease-fighting antibodies, as well as immune cells called B cells and T cells that are capable of recognizing the virus, appear to persist months after infections have resolved  an encouraging echo of the bodys enduring response to other viruses.', 'Scientists see signs of lasting immunity to COVID-19, even after mild infections Share: August 18, 2020 ', 'Scientists who have been monitoring immune responses to the virus are now starting to see encouraging signs of strong, lasting immunity, even in people who developed only mild symptoms of Covid-19, a flurry of new studies suggests.']"
2156,Clinically proven protease inhibitor blocks coronavirus cell proliferation,REFUTED,"['Commentary: SARS-CoV-2 Cell Entry Depends on ACE2 and TMPRSS2 and Is Blocked by a Clinically Proven Protease Inhibitor.', 'SARS-CoV-2 Cell Entry Depends on ACE2 and TMPRSS2 and Is Blocked by a Clinically Proven Protease Inhibitor.']"
1208,Kids'covid-linked ailment is called your typical kawasaki disease,REFUTED,"['Notably, while half of patients presented with classic Kawasaki disease, the other half presented with an ""incomplete"" form of the disease.', 'Still, they differed from the historical cohort of patients with Kawasaki disease, the authors said.']"
